City,Country,Latitude,Longitude,Max Temp (f),Humidity (%),Cloud Cover (%),Wind Speed (mph)
Preobrazheniye,RU,42.9019,133.9064,39.79,38,2,8.08
Bethel,US,41.3712,-73.414,42.89,86,90,3.44
Mossamedes,AO,-15.1961,12.1522,74.21,80,100,4.63
Hammerfest,NO,70.6634,23.6821,32.45,64,75,10.36
Trenggalek,ID,-8.05,111.7167,81.25,81,100,1.81
Palauig,PH,15.435,119.9045,86.5,69,50,7.92
Anadyr,RU,64.75,177.4833,30.7,86,75,15.66
Coquimbo,CL,-29.9533,-71.3436,55.13,94,20,5.75
Ningyang,CN,35.7642,116.7914,61.43,35,57,3.22
Warrnambool,AU,-38.3833,142.4833,51.66,62,94,17.09
Shanghai,CN,31.2222,121.4581,69.87,35,0,6.71
Umluj,SA,25.0213,37.2685,77.34,59,3,9.73
Alyangula,AU,-13.8483,136.4192,87.67,37,100,10.36
Dingle,PH,10.9995,122.6711,83.84,78,99,10.45
Vanavara,RU,60.34,102.2797,23.76,92,100,6.15
Djibo,BF,14.1022,-1.6306,75.65,23,100,10.4
Thompson,CA,55.7435,-97.8558,23.16,86,90,3.44
Whitecourt,CA,54.1502,-115.6855,29.44,100,90,5.75
Husavik,IS,66.0449,-17.3389,37.31,74,47,17.47
Mar del Plata,AR,-38.0023,-57.5575,62.87,88,0,17.0
Richards Bay,ZA,-28.783,32.0377,74.01,71,94,9.89
Novelda,ES,38.3848,-0.7677,56.08,61,0,12.75
George Town,MY,5.4112,100.3354,89.89,70,20,7.0
Edgewater,US,28.9889,-80.9023,56.01,54,25,9.4
Olafsvik,IS,64.8945,-23.7142,40.15,67,98,36.08
Kulhudhuffushi,MV,6.6221,73.07,81.34,80,100,22.62
Briançon,FR,44.9,6.65,39.51,98,100,5.32
Sohbatpur,PK,28.5202,68.5434,83.07,7,0,1.16
Hoquiam,US,46.9809,-123.8893,59.52,68,90,27.63
Pachino,IT,36.7186,15.0907,50.04,82,90,10.4
Harper,LR,4.375,-7.7169,77.04,87,52,2.73
Westport,US,41.1415,-73.3579,44.76,84,90,1.01
Klaksvík,FO,62.2266,-6.589,45.52,78,33,27.25
Teknāf,BD,20.8624,92.3058,84.34,68,76,6.02
Joshīmath,IN,30.5667,79.5667,61.43,17,0,7.49
Qinhuangdao,CN,39.9317,119.5883,47.07,34,100,5.46
Hurghada,EG,27.2574,33.8129,66.24,63,0,0.0
Tromsø,NO,69.6496,18.957,35.62,87,75,3.0
Qaqortoq,GL,60.7167,-46.0333,9.1,56,0,22.46
Port Hardy,CA,50.6996,-127.4199,44.6,100,90,2.3
Tazovsky,RU,67.4667,78.7,4.53,92,100,11.23
Sisimiut,GL,66.9395,-53.6735,17.42,77,100,6.31
Praia da Vitória,PT,38.7333,-27.0667,68.25,88,40,23.73
Benghazi,LY,32.1167,20.0667,67.06,59,24,26.62
Taltal,CL,-25.4,-70.4833,58.57,84,24,2.59
Katsuura,JP,35.1333,140.3,64.51,66,37,12.33
Tingi,TZ,-11.3,35.0333,74.98,54,9,8.46
Avera,US,33.194,-82.5271,49.87,64,0,8.84
Ponta Porã,BR,-22.5361,-55.7256,66.36,96,100,5.75
Khovd,MN,48.0056,91.6419,40.23,34,100,2.68
Fortuna,US,40.5982,-124.1573,56.43,73,20,3.0
Padang,ID,-0.9492,100.3543,87.85,63,99,5.19
Saint-Philippe,RE,-21.3585,55.7679,85.48,66,55,12.88
Hualmay,PE,-11.0964,-77.6139,62.56,87,82,7.56
Boyolangu,ID,-8.1181,111.8935,80.44,81,96,3.8
Coswig,DE,51.1333,13.5833,42.66,90,90,6.91
Buin,CL,-33.7333,-70.75,64.74,53,66,3.11
Vao,NC,-22.6667,167.4833,77.18,77,76,11.56
Geraldton,AU,-28.7667,114.6,77.41,53,0,11.5
Tadine,NC,-21.55,167.8833,79.66,68,60,9.01
Ampanihy,MG,-24.7,44.75,83.08,45,26,7.63
Bengkulu,ID,-3.8004,102.2655,83.89,68,67,8.03
Dudinka,RU,69.4058,86.1778,-2.92,97,100,12.3
Sistranda,NO,63.7256,8.834,45.9,66,100,9.35
Kaitangata,NZ,-46.2817,169.8464,59.94,82,93,13.13
Nome,US,64.5011,-165.4064,23.07,68,90,6.91
Kichmengskiy Gorodok,RU,59.9816,45.7854,20.5,94,92,6.8
Tambopata,PE,-12.7333,-69.1833,76.53,80,84,2.3
Bonnyville,CA,54.2668,-110.735,31.32,97,97,2.53
Arraial do Cabo,BR,-22.9661,-42.0278,68.92,75,46,16.15
Ashquelon,IL,31.6693,34.5715,70.92,37,49,4.65
Te Anau,NZ,-45.4167,167.7167,47.95,93,100,3.83
Sitka,US,57.0531,-135.33,33.69,86,90,3.44
Palembang,ID,-2.9167,104.7458,84.29,74,40,4.61
Zyryanka,RU,65.75,150.85,2.73,96,100,6.67
Saint-Augustin,CA,51.226,-58.6502,30.49,86,80,9.89
Portland,US,45.5234,-122.6762,61.63,86,90,3.0
Newport,GB,51.5877,-2.9984,49.62,92,40,1.77
Faanui,PF,-16.4833,-151.75,76.5,77,100,21.92
Antalaha,MG,-14.9003,50.2788,82.26,65,14,6.22
Mongu,ZM,-15.2484,23.1274,77.25,64,96,1.54
Kununurra,AU,-15.7667,128.7333,98.58,14,76,6.91
Kenora,CA,49.8167,-94.4337,26.58,93,20,4.61
Codó,BR,-4.4553,-43.8856,73.6,98,95,2.39
Maragogi,BR,-9.0122,-35.2225,77.32,83,20,8.61
Yumen,CN,40.2833,97.2,45.97,17,0,4.43
Khandyga,RU,62.6667,135.6,-16.44,100,78,0.65
Traverse City,US,44.7631,-85.6206,37.6,81,90,12.66
Kenai,US,60.5544,-151.2583,7.03,92,1,0.0
Kasempa,ZM,-13.4584,25.8338,72.68,73,83,1.5
Belmonte,BR,-15.8631,-38.8828,68.5,91,100,12.01
Nipawin,CA,53.3668,-104.0009,28.44,100,90,3.44
Camacha,PT,33.0833,-16.3333,63.36,72,20,4.61
Gerāsh,IR,27.6652,54.1371,62.74,25,7,2.24
San Cristobal,VE,7.7669,-72.225,68.18,92,80,1.28
Władysławowo,PL,54.7909,18.4009,42.94,85,46,14.41
Lucapa,AO,-8.4192,20.7447,66.51,97,100,1.52
Arrondissement de Bergerac,FR,44.8333,0.5,49.77,100,90,5.75
Baní,DO,18.2833,-70.3333,76.15,82,58,10.27
Hambantota,LK,6.1241,81.1185,86.34,79,40,13.8
Arman',RU,59.7,150.1667,28.63,91,100,3.42
Borogontsy,RU,62.6683,131.1683,-15.54,99,82,0.78
Ribeira Grande,PT,38.5167,-28.7,67.89,83,75,16.91
Wagar,SD,16.1525,36.2032,82.42,48,0,7.47
Mariental,NA,-24.6333,17.9667,83.86,14,0,8.46
Hofn,IS,64.2539,-15.2082,41.99,79,14,29.75
Saquarema,BR,-22.92,-42.5103,63.27,86,33,11.9
Teya,RU,60.3778,92.6267,25.66,88,100,4.68
Entebbe,UG,0.0644,32.4469,70.12,94,20,5.75
Kolokani,ML,13.5728,-8.0339,71.47,33,51,8.57
Doiwāla,IN,30.1833,78.1167,72.32,42,0,4.41
Great Bend,US,38.3645,-98.7648,46.53,51,1,1.01
Purwakarta,ID,-6.5569,107.4433,83.5,84,100,3.42
Manavālakurichi,IN,8.1333,77.3,80.69,72,91,13.51
Yulara,AU,-25.2406,130.9889,84.04,16,27,5.75
Morón,AR,-34.6534,-58.6198,71.35,75,0,3.96
Monkey Bay,MW,-14.0728,34.9201,82.53,52,30,3.29
Ossora,RU,59.2353,163.0719,27.9,91,100,3.27
São João da Barra,BR,-21.6403,-41.0511,68.58,71,68,8.3
Flinders,AU,-34.5833,150.8552,69.21,46,39,18.39
Sharan,RU,54.8167,54.0,14.56,91,100,2.71
Provideniya,RU,64.3833,-173.3,24.91,80,90,13.42
Touros,BR,-5.1989,-35.4608,79.7,79,15,12.3
Port Blair,IN,11.6667,92.75,79.47,86,100,14.67
Tymovskoye,RU,50.8456,142.655,24.71,72,98,6.29
Hailar,CN,49.2,119.7,33.22,48,35,12.01
Bangaon,IN,23.0667,88.8167,79.03,71,98,5.03
Srandakan,ID,-7.9386,110.2506,65.73,70,100,2.95
Imbituva,BR,-25.23,-50.6044,53.71,100,93,2.28
Port Macquarie,AU,-31.4333,152.9167,78.76,35,0,3.27
Isangel,VU,-19.55,169.2667,84.31,61,40,6.91
Curanilahue,CL,-37.4667,-73.35,47.26,98,56,2.33
Bayeux,BR,-7.125,-34.9322,75.83,94,20,3.44
Songjianghe,CN,42.1859,127.479,34.97,45,4,4.12
Vetluzhskiy,RU,58.3902,45.4654,25.72,87,99,9.19
Oranjestad,AW,12.524,-70.027,82.35,78,20,11.5
Grootfontein,NA,-19.5667,18.1167,77.92,38,90,6.98
Qui Nhon,VN,13.7667,109.2333,75.67,96,100,8.84
Cidreira,BR,-30.1811,-50.2056,67.62,90,100,16.49
Villaviciosa,ES,43.4813,-5.4357,57.96,96,100,4.0
Okhotsk,RU,59.3833,143.3,23.76,95,100,13.82
Clyde River,CA,70.4692,-68.5914,5.29,69,48,5.73
Ilhabela,BR,-23.7781,-45.3581,67.98,85,85,8.79
Jalu,LY,29.0331,21.5482,64.83,52,57,8.12
Balkhash,KZ,46.844,74.9804,30.81,74,20,24.61
Saint-Joseph,RE,-21.3667,55.6167,84.47,65,45,6.33
Saint Anthony,US,45.0205,-93.218,31.15,76,90,4.61
Sainte-Thècle,CA,46.8168,-72.4991,33.78,98,100,5.14
Bilibino,RU,68.0546,166.4372,5.68,97,98,4.05
Palmer,US,42.1584,-72.3287,42.4,80,75,1.99
Tuy Hoa,VN,13.0833,109.3,76.39,95,100,8.28
Sooke,CA,48.3746,-123.7276,53.44,98,100,11.5
Uauá,BR,-9.8414,-39.4817,72.14,81,70,13.15
Bubaque,GW,11.2833,-15.8333,82.96,66,63,4.38
Yurginskoye,RU,56.8189,67.3921,16.07,84,48,4.7
Kathu,TH,7.9178,98.3332,81.7,99,85,1.14
Hollister,US,36.8525,-121.4016,63.97,72,1,0.0
Ostrovnoy,RU,68.0531,39.5131,20.59,85,99,17.63
Ulagan,RU,50.6321,87.9563,33.57,63,83,2.51
Vila Velha,BR,-20.3297,-40.2925,62.94,91,40,1.14
Udachny,RU,66.4167,112.4,-13.58,99,55,4.45
Oranjemund,NA,-28.55,16.4333,65.19,74,29,9.31
Waipawa,NZ,-41.4122,175.5153,61.43,69,0,20.56
Boende,CD,-0.2167,20.8667,75.76,78,90,2.3
Gummidipundi,IN,13.4,80.15,80.6,68,25,7.54
Atambua,ID,-9.1061,124.8925,76.8,79,100,3.47
Druzhba,UA,52.0428,33.9453,31.51,89,66,10.16
Russell,US,32.3502,-85.1999,49.23,81,1,4.61
Northam,GB,51.0333,-4.2167,52.09,92,100,3.0
Faya,SA,18.3851,42.4509,61.32,41,0,2.8
Schweinfurt,DE,50.05,10.2333,45.43,94,8,7.25
Tommot,RU,58.9564,126.2925,9.91,91,88,0.89
Sangar,RU,63.9242,127.4739,-19.68,97,23,3.29
Ancud,CL,-41.8697,-73.8203,42.42,80,100,12.91
Kahului,US,20.8947,-156.47,77.02,91,1,3.44
Dunedin,NZ,-45.8742,170.5036,54.81,66,64,3.0
Tilaran,CR,10.4703,-84.9671,65.91,93,24,6.02
Coyhaique,CL,-45.5752,-72.0662,31.95,100,75,1.14
Talnakh,RU,69.4865,88.3972,-6.99,97,100,10.13
Ketchikan,US,55.3422,-131.6461,39.67,87,90,5.75
Svetlaya,RU,46.5389,138.3297,31.96,44,1,12.33
Fare,PF,-16.7,-151.0167,78.31,80,100,12.37
Ciudad Bolivar,VE,8.1222,-63.5497,74.86,85,83,8.23
Saint George,US,37.1041,-113.5841,61.54,47,1,0.0
Niquero,CU,20.0431,-77.5828,75.76,88,89,12.64
Raudeberg,NO,61.9875,5.1352,49.78,87,100,11.01
Isugod,PH,9.3408,118.1196,85.05,72,94,1.14
Evansville,US,37.9748,-87.5558,33.87,84,1,4.61
Lázaro Cárdenas,MX,17.9583,-102.2,74.41,66,8,4.81
Tilichiki,RU,60.4667,166.1,25.72,96,100,7.25
Kabul,AF,34.5,69.4167,47.26,31,0,5.26
São José da Coroa Grande,BR,-8.8978,-35.1478,77.56,83,16,8.75
Esim,GH,4.8699,-2.2405,78.33,87,69,4.99
Bajil,YE,15.0584,43.2851,82.2,56,1,4.52
Celestún,MX,20.8667,-90.4,70.81,76,12,10.56
Ghātanji,IN,20.1333,78.3167,78.53,66,90,8.08
Sindon,PH,17.0603,122.0151,84.85,70,85,2.53
Tabou,CI,4.423,-7.3528,77.0,87,57,2.8
Atbasar,KZ,51.8,68.3333,23.05,78,100,10.09
Digri,PK,25.1558,69.1113,86.32,9,0,9.71
Grindavik,IS,63.8424,-22.4338,37.87,81,75,23.02
